"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Receipt ID","Balance"
"01/10/2021","21:55:06","EST","Chess For All","Express Checkout Payment","Completed","USD","-20.00","","221.68"
"02/15/2021","09:31:04","EST","","General Card Deposit","Completed","USD","21.18","","242.86"
"02/15/2021","09:31:04","EST","The Home Depot","Express Checkout Payment","Completed","USD","-21.18","","221.68"
"02/18/2021","10:41:49","EST","","General Card Deposit","Completed","USD","18.65","","240.33"
"02/18/2021","10:41:49","EST","The Home Depot","Express Checkout Payment","Completed","USD","-18.65","","221.68"
"02/19/2021","08:22:28","EST","","General Card Deposit","Completed","USD","11.42","","233.10"
"02/19/2021","08:22:28","EST","The Home Depot","Express Checkout Payment","Completed","USD","-11.42","","221.68"
"02/19/2021","08:22:28","EST","The Home Depot","General Authorization","Completed","USD","-51.24","","221.68"
"03/24/2021","11:01:24","EDT","","General Card Deposit","Completed","USD","14.33","","236.01"
"03/24/2021","11:01:24","EDT","The Home Depot","Express Checkout Payment","Completed","USD","-14.33","","221.68"
"03/24/2021","11:01:24","EDT","The Home Depot","General Authorization","Completed","USD","-14.33","","221.68"
"05/04/2021","22:39:38","EDT","K. Van Bourgondien","Express Checkout Payment","Completed","USD","-23.06","","198.62"
"05/14/2021","13:41:14","EDT","Petco Animal Supplies, Inc.","PreApproved Payment Bill User Payment","Completed","USD","-7.11","","191.51"
"07/09/2021","16:34:08","EDT","Walmart.com","Express Checkout Payment","Completed","USD","-86.91","","104.60"
"07/09/2021","16:34:08","EDT","","General Card Deposit","Completed","USD","86.91","","191.51"
"07/09/2021","16:34:08","EDT","Walmart.com","General Authorization","Completed","USD","-86.91","","191.51"
"07/10/2021","19:38:58","EDT","","General Card Deposit","Completed","USD","51.35","","242.86"
"07/10/2021","19:38:58","EDT","Skechers By Mail, Inc.","Express Checkout Payment","Completed","USD","-51.35","","191.51"
"07/15/2021","15:09:45","EDT","Macy's","Express Checkout Payment","Completed","USD","-12.72","","178.79"
"07/15/2021","15:09:45","EDT","","General Card Deposit","Completed","USD","12.72","","191.51"
"07/15/2021","15:09:45","EDT","Macy's","General Authorization","Completed","USD","-12.72","","191.51"
"07/17/2021","20:27:20","EDT","PayPal","Reversal of General Account Hold","Completed","USD","1.00","","192.51"
"07/17/2021","20:27:20","EDT","CHICKFILA ONE 86623220","Void of Authorization","Reversed","USD","-1.00","","192.51"
"07/20/2021","00:31:40","EDT","CHICK-FIL-A #01437","Website Payment","Completed","USD","-32.74","","159.77"
"07/20/2021","00:31:40","EDT","PayPal","Reversal of General Account Hold","Completed","USD","32.74","","192.51"
"07/20/2021","00:31:40","EDT","CHICK-FIL-A #01437","General Authorization","Completed","USD","-32.74","","192.51"
"08/14/2021","22:00:14","EDT","","General Card Deposit","Completed","USD","21.99","","214.50"
"08/14/2021","22:00:14","EDT","Vitacost.com","Express Checkout Payment","Completed","USD","-180.76","","33.74"
"08/14/2021","22:00:14","EDT","PayPal","Reversal of General Account Hold","Completed","USD","158.77","","192.51"
"08/27/2021","09:47:36","EDT","","General Card Deposit","Completed","USD","20.00","","212.51"
"08/27/2021","09:47:36","EDT","REI","Express Checkout Payment","Completed","USD","-20.00","","192.51"
"08/27/2021","09:47:36","EDT","REI","General Authorization","Completed","USD","-20.00","","192.51"
"08/27/2021","09:47:39","EDT","","General Card Deposit","Completed","USD","9.51","","202.02"
"08/27/2021","09:47:39","EDT","REI","Express Checkout Payment","Completed","USD","-9.51","","192.51"
"08/27/2021","09:47:39","EDT","REI","General Authorization","Completed","USD","-9.51","","192.51"
"08/31/2021","01:31:08","EDT","REI","Express Checkout Payment","Completed","USD","-3.15","","189.36"
"08/31/2021","01:31:08","EDT","","General Card Deposit","Completed","USD","3.15","","192.51"
"08/31/2021","01:31:08","EDT","REI","General Authorization","Completed","USD","-3.15","","192.51"
"09/01/2021","11:58:45","EDT","Macy's","Express Checkout Payment","Completed","USD","-10.53","","181.98"
"09/01/2021","11:58:45","EDT","","General Card Deposit","Completed","USD","10.53","","192.51"
"09/01/2021","11:58:45","EDT","Macy's","General Authorization","Completed","USD","-10.53","","192.51"
"09/01/2021","20:11:03","EDT","Spotify USA Inc","Express Checkout Payment","Completed","USD","-10.59","","181.92"
"09/01/2021","20:11:03","EDT","","General Card Deposit","Completed","USD","10.59","","192.51"
"09/01/2021","20:11:03","EDT","Spotify USA Inc","General Authorization","Completed","USD","-10.59","","192.51"
"09/07/2021","20:01:13","EDT","Vitacost.com","Express Checkout Payment","Completed","USD","-107.15","","85.36"
"09/07/2021","20:01:13","EDT","","General Card Deposit","Completed","USD","107.15","","192.51"
"09/12/2021","15:59:03","EDT","Vitacost.com","Void of Authorization","Reversed","USD","-180.77","","192.51"
"09/12/2021","23:44:52","EDT","","General Card Deposit","Completed","USD","14.69","","207.20"
"09/12/2021","23:44:52","EDT","Papa John's","Express Checkout Payment","Completed","USD","-14.69","","192.51"
"09/12/2021","23:44:52","EDT","Papa John's","General Authorization","Completed","USD","-14.69","","192.51"
"09/18/2021","22:26:41","EDT","Bluestone Perennials","Express Checkout Payment","Completed","USD","-64.45","","128.06"
"09/18/2021","22:26:41","EDT","","General Card Deposit","Completed","USD","64.45","","192.51"
"09/19/2021","07:37:44","EDT","","General Card Deposit","Completed","USD","149.99","","342.50"
"09/19/2021","07:37:44","EDT","Joytunes Ltd","Subscription Payment","Completed","USD","-149.99","","192.51"
"09/30/2021","19:07:38","EDT","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","181.92"
"09/30/2021","19:07:38","EDT","","General Card Deposit","Completed","USD","10.59","","192.51"
"10/05/2021","13:46:44","EDT","Vitacost.com","Void of Authorization","Reversed","USD","-107.16","","192.51"
"10/26/2021","18:30:09","EDT","PayPal","Payment Reversal","Completed","USD","5.00","","197.51"
"10/26/2021","18:30:10","EDT","PayPal","Reversal of General Account Hold","Completed","USD","5.00","","202.51"
"10/26/2021","18:30:10","EDT","","Reversal of ACH Deposit","Completed","USD","-5.00","","197.51"
"10/30/2021","19:07:32","EDT","","General Card Deposit","Completed","USD","10.59","","208.10"
"10/30/2021","19:07:32","EDT","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","197.51"
"11/30/2021","18:07:34","EST","","General Card Deposit","Completed","USD","10.59","","208.10"
"11/30/2021","18:07:34","EST","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","197.51"
"12/07/2021","07:58:11","EST","","General Card Deposit","Completed","USD","36.37","","233.88"
"12/07/2021","07:58:11","EST","The Home Depot","Express Checkout Payment","Completed","USD","-36.37","","197.51"
"12/07/2021","07:58:11","EST","The Home Depot","General Authorization","Completed","USD","-36.37","","197.51"
"12/11/2021","21:54:22","EST","","General Card Deposit","Completed","USD","1,060.07","","1,257.58"
"12/11/2021","21:54:22","EST","Airbnb Payments Inc.","PreApproved Payment Bill User Payment","Completed","USD","-1,060.07","","197.51"
"12/11/2021","21:54:22","EST","Airbnb Payments Inc.","General Authorization","Completed","USD","-1,060.07","","197.51"
"12/12/2021","13:49:16","EST","Viator (TripAdvisor)","Express Checkout Payment","Completed","USD","-517.51","","-320.00"
"12/12/2021","13:49:16","EST","","General Card Deposit","Completed","USD","517.51","","197.51"
"12/12/2021","13:49:16","EST","Viator (TripAdvisor)","General Authorization","Completed","USD","-517.51","","197.51"
"12/16/2021","16:04:29","EST","","General Card Deposit","Completed","USD","2.12","","199.63"
"12/16/2021","16:04:29","EST","Best Buy Co., Inc.","Express Checkout Payment","Completed","USD","-2.12","","197.51"
"12/16/2021","16:04:29","EST","Best Buy Co., Inc.","General Authorization","Completed","USD","-2.12","","197.51"
"12/24/2021","09:16:47","EST","","General Card Deposit","Completed","USD","150.00","","347.51"
"12/24/2021","09:16:47","EST","CashStar- BrooksBrothers","Express Checkout Payment","Completed","USD","-150.00","","197.51"
"12/24/2021","09:16:47","EST","CashStar- BrooksBrothers","General Authorization","Completed","USD","-150.00","","197.51"
"12/28/2021","12:13:52","EST","Groupon Inc","PreApproved Payment Bill User Payment","Completed","USD","-55.00","","142.51"
"12/28/2021","12:13:52","EST","","General Card Deposit","Completed","USD","55.00","","197.51"
"12/28/2021","12:13:52","EST","Groupon Inc","General Authorization","Completed","USD","-55.00","","197.51"
"12/30/2021","18:07:33","EST","","General Card Deposit","Completed","USD","10.59","","208.10"
"12/30/2021","18:07:33","EST","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","197.51"
